ID,Parent Company,Acquisition Year,Acquisition Month,Acquired Company,Business,Country,Acquisition Price,Category,Derived Products
1,Apple,1988,Mar,Network Innovations,Software,-,-,-,-
2,Apple,1988,Jun,Orion Network Systems,Computer Software,-,-,-,-
3,Apple,1988,Jun,Styleware,Computer software,-,-,-,-
4,Apple,1988,Jul,Nashoba Systems,Computer software,-,-,-,-
5,Apple,1989,Jan,Coral Software,Computer software,-,-,-,-
6,Apple,1997,Feb,NeXT,Unix-like hardware and software platform,-,404000000,-,-
7,Apple,1997,Sep,Power Computing Corporation,Macintosh clones,-,110000000,-,-
8,Apple,1999,Jan,Xemplar Education,Software,-,4926000,-,-
9,Apple,1999,Nov,Raycer Graphics,Computer graphic chips,-,15000000,-,-
10,Apple,2000,Jan,NetSelector,Internet software,-,-,-,-
11,Apple,2000,Apr,Astarte-DVD Authoring Software,Software,-,-,-,-
12,Apple,2000,-,SoundJam MP,Software,-,-,-,-